Unnamed: 13,allowed_keys,date,expName,frameRate,img,limit_chars,participant,que,resp,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_04_0954,demog_exp,119.775807667,Slides\Slides11.jpg,"[1, 1]",5,sight,1,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_04_0954,demog_exp,119.775807667,Slides\Slides13.jpg,"[1, 1]",5,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_04_0954,demog_exp,119.775807667,Slides\Slides12.jpg,"[1, 1]",5,credit_or_payment,2,13,13,0,13
,['return'],2018_Dec_04_1021,demog_exp,119.957459751,Slides\Slides1.jpg,"[0, 0]",6,intro,,0,0,0,0
,[],2018_Dec_04_1021,demog_exp,119.957459751,Slides\Slides0.jpg,"[1, 140]",6,debrief,םירהל עבצא הזיא ונלש הטלחהה לע עיפשמ יוריגה םא קודבל,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_04_1021,demog_exp,119.957459751,Slides\Slides5.jpg,"[1, 1]",6,degree,1,2,2,0,2
,[],2018_Dec_04_1021,demog_exp,119.957459751,Slides\Slides6.jpg,"[1, 140]",6,faculty,היגולוכיספ,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_1021,demog_exp,119.957459751,Slides\Slides7.jpg,"[1, 3]",6,gpa,0,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1021,demog_exp,119.957459751,Slides\Slides2.jpg,"[1, 1]",6,sex,2,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_1021,demog_exp,119.957459751,Slides\Slides3.jpg,"[1, 2]",6,age,19,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_1021,demog_exp,119.957459751,Slides\Slides4.jpg,"[3, 3]",6,sat,682,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1021,demog_exp,119.957459751,Slides\Slides8.jpg,"[1, 1]",6,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1021,demog_exp,119.957459751,Slides\Slides9.jpg,"[1, 1]",6,adhd,2,9,9,0,9
,[],2018_Dec_04_1021,demog_exp,119.957459751,Slides\Slides10.jpg,"[1, 140]",6,lang,תיברע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_04_1021,demog_exp,119.957459751,Slides\Slides11.jpg,"[1, 1]",6,sight,1,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1021,demog_exp,119.957459751,Slides\Slides13.jpg,"[1, 1]",6,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1021,demog_exp,119.957459751,Slides\Slides12.jpg,"[1, 1]",6,credit_or_payment,1,13,13,0,13
,['return'],2018_Dec_04_1040,demog_exp,119.794439864,Slides\Slides1.jpg,"[0, 0]",7,intro,,0,0,0,0
,[],2018_Dec_04_1040,demog_exp,119.794439864,Slides\Slides0.jpg,"[1, 140]",7,debrief,בשק תייטה קודבל,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_04_1040,demog_exp,119.794439864,Slides\Slides5.jpg,"[1, 1]",7,degree,1,2,2,0,2
,[],2018_Dec_04_1040,demog_exp,119.794439864,Slides\Slides6.jpg,"[1, 140]",7,faculty,תיללכ הירוטסיהו היגולוכיספ,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_1040,demog_exp,119.794439864,Slides\Slides7.jpg,"[1, 3]",7,gpa,88,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1040,demog_exp,119.794439864,Slides\Slides2.jpg,"[1, 1]",7,sex,1,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_1040,demog_exp,119.794439864,Slides\Slides3.jpg,"[1, 2]",7,age,24,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_1040,demog_exp,119.794439864,Slides\Slides4.jpg,"[3, 3]",7,sat,694,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1040,demog_exp,119.794439864,Slides\Slides8.jpg,"[1, 1]",7,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1040,demog_exp,119.794439864,Slides\Slides9.jpg,"[1, 1]",7,adhd,2,9,9,0,9
,[],2018_Dec_04_1040,demog_exp,119.794439864,Slides\Slides10.jpg,"[1, 140]",7,lang,תירבע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_04_1040,demog_exp,119.794439864,Slides\Slides11.jpg,"[1, 1]",7,sight,1,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1040,demog_exp,119.794439864,Slides\Slides13.jpg,"[1, 1]",7,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1040,demog_exp,119.794439864,Slides\Slides12.jpg,"[1, 1]",7,credit_or_payment,2,13,13,0,13
,['return'],2018_Dec_04_1112,demog_exp,119.717730146,Slides\Slides1.jpg,"[0, 0]",9,intro,,0,0,0,0
